permit_number,lease_name,operator_name,operator_number,county_code,county_name,district,issue_date,received_date,amended_date,extended_date,spud_date,well_number,well_status,total_depth,application_type,app_type_desc,horizontal_flag,directional_flag,sidetrack_flag,surface_section,surface_block,surface_survey,surface_abstract,gis_surface_lat,gis_surface_lon,gis_bottomhole_lat,gis_bottomhole_lon,field_count,field_numbers,lease_count,survey_count,restriction_count,remark_count,address
0911478,SIMPSON CANYON 1045,"SURGE SOLUTIONS, INC.",760737,105,Crockett,09,11/07/2025,10/29/2025,,,,1,,5900,07,Re-enter,N,N,N,5      H,H,GC&SF RR CO,3331,30.9613935,-101.8890894,30.9613935,-101.8890894,1,09903475,1,0,2,4,
0911599,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,1H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8782436,-104.2919926,31.908548,-104.299479,1,31913800,0,1,2,16,
0911603,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,2H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8783396,-104.2919926,31.9085659,-104.2968781,1,31913800,0,1,2,16,
0911606,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,3H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8782436,-104.2919286,31.9085829,-104.2942772,1,31913800,0,1,2,16,
0911609,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,4H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8783396,-104.2919286,31.9086009,-104.2916773,1,31913800,0,1,2,16,
0911610,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,5H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8782436,-104.2918636,31.9086168,-104.2892083,1,31913800,0,1,2,16,
0911611,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,6H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8783396,-104.2918646,31.9086338,-104.2866084,1,31913800,0,1,2,16,
0911612,STATE SECRETARIAT UNIT,CIMAREX ENERGY CO.,153438,109,Culberson,10,11/06/2025,11/05/2025,,,,7H,,11000,01,Drill,Y,N,N,6,0 T2,T&P RR CO,2821,31.8782436,-104.2917996,31.9087548,-104.2840075,1,31913800,0,1,2,16,
0911616,HEARTSBANE 47,"BIRCH OPERATIONS, INC.",071331,115,Dawson,11,11/07/2025,11/05/2025,,,,1WI,,8600,01,Drill,N,N,N,7      3,4 T4N,T&P RR CO,63,32.5535787,-101.7135951,32.5535787,-101.7135951,1,85280300,0,0,2,10,
0910605,YARBROUGH B ET AL GU 5 (AW),"BKV BARNETT, LLC",072504,121,Denton,13,11/04/2025,09/22/2025,,,,5H,,16949,01,Drill,Y,N,N,,,"BURN, J A",132,33.1824669,-97.2305681,33.1971886,-97.2522841,1,65280200,0,1,1,16,
